customer_id,segment,region,acquisition_date,age_group,last_purchase_date,days_since_purchase,is_churned
C00001,Regular,North,2022-01-21,18-25,2024-08-27,126,1
C00002,Budget,North,2022-03-05,36-45,2024-05-24,221,1
C00003,Budget,West,2022-06-14,26-35,2024-11-18,43,0
C00004,Regular,North,2022-01-27,18-25,2024-10-09,83,0
C00005,Premium,North,2022-11-07,36-45,2024-09-16,106,1
C00006,Premium,East,2022-10-12,46-60,2024-08-31,122,1
C00007,Premium,South,2022-10-08,26-35,2024-11-13,48,0
C00008,Budget,East,2022-06-13,26-35,2024-07-06,178,1
C00009,Regular,North,2022-08-12,46-60,2024-07-03,181,1
C00010,Budget,South,2022-05-26,46-60,2024-06-25,189,1
C00011,Premium,North,2022-01-30,36-45,2024-11-23,38,0
C00012,Budget,North,2022-02-14,26-35,2024-07-31,153,1
C00013,Budget,West,2023-04-16,60+,2024-12-23,8,0
C00014,Regular,North,2022-02-03,26-35,2024-12-09,22,0
C00015,Premium,South,2023-03-03,36-45,2023-12-09,388,1
C00016,Premium,South,2022-08-09,18-25,2024-08-25,128,1
C00017,Regular,South,2023-06-18,36-45,2024-10-24,68,0
C00018,Regular,West,2023-01-02,26-35,2024-10-17,75,0
C00019,Regular,North,2022-04-26,26-35,2024-07-13,171,1
C00020,Regular,East,2022-08-27,26-35,2024-10-19,73,0
C00021,Regular,West,2022-12-01,26-35,2024-12-16,15,0
C00022,Premium,East,2023-03-17,36-45,2024-08-28,125,1
C00023,Regular,West,2022-05-28,46-60,2024-12-26,5,0
C00024,Regular,North,2022-01-09,60+,2024-09-23,99,1
C00025,Regular,South,2022-10-15,26-35,2024-07-02,182,1
C00026,Budget,North,2023-01-23,36-45,2024-12-14,17,0
C00027,Premium,East,2022-02-19,36-45,2024-10-03,89,0
C00028,Regular,West,2023-06-01,26-35,2024-11-29,32,0
C00029,Regular,North,2022-10-05,18-25,2024-12-22,9,0
C00030,Premium,East,2022-10-27,36-45,2024-09-03,119,1
C00031,Regular,North,2022-05-15,60+,2024-06-13,201,1
C00032,Premium,East,2022-05-27,36-45,2024-10-01,91,1
C00033,Premium,South,2023-05-05,26-35,2024-11-18,43,0
C00034,Budget,West,2023-04-23,36-45,2024-09-06,116,1
C00035,Budget,East,2022-06-08,26-35,2024-07-16,168,1
C00036,Budget,South,2023-01-19,46-60,2024-10-25,67,0
C00037,Regular,North,2022-06-12,36-45,2024-02-17,318,1
C00038,Premium,North,2023-03-17,18-25,2023-11-27,400,1
C00039,Regular,North,2022-07-08,46-60,2024-12-02,29,0
C00040,Regular,North,2023-02-19,26-35,2024-12-14,17,0
C00041,Premium,West,2022-12-05,60+,2024-10-11,81,0
C00042,Regular,East,2022-06-30,26-35,2024-12-02,29,0
C00043,Premium,South,2022-10-15,26-35,2024-10-02,90,0
C00044,Budget,North,2022-07-06,26-35,2024-12-23,8,0
C00045,Regular,West,2022-05-18,26-35,2024-01-20,346,1
C00046,Regular,East,2022-05-10,18-25,2024-12-04,27,0
C00047,Regular,North,2022-07-13,36-45,2024-12-10,21,0
C00048,Regular,East,2022-11-12,36-45,2024-09-07,115,1
C00049,Regular,South,2022-05-24,36-45,2024-10-23,69,0
C00050,Premium,North,2022-01-16,18-25,2024-12-28,3,0
C00051,Budget,South,2022-10-29,36-45,2024-03-13,293,1
C00052,Budget,South,2023-02-27,18-25,2023-12-21,376,1
C00053,Budget,North,2022-09-02,36-45,2024-05-20,225,1
C00054,Budget,West,2022-04-17,18-25,2024-12-14,17,0
C00055,Regular,West,2022-03-29,60+,2024-11-05,56,0
C00056,Budget,East,2022-05-09,36-45,2024-10-07,85,0
C00057,Premium,South,2022-12-07,36-45,2023-10-27,431,1
C00058,Premium,South,2022-01-04,26-35,2024-12-24,7,0
C00059,Premium,East,2022-11-23,18-25,2024-12-05,26,0
C00060,Regular,South,2023-02-14,26-35,2024-10-19,73,0
C00061,Regular,North,2022-11-02,46-60,2024-12-09,22,0
C00062,Regular,South,2022-08-13,60+,2024-09-22,100,1
C00063,Budget,West,2022-12-14,18-25,2024-10-31,61,0
C00064,Regular,South,2022-11-17,36-45,2024-12-08,23,0
C00065,Regular,North,2022-06-30,36-45,2024-09-16,106,1
C00066,Regular,East,2023-01-21,36-45,2024-08-19,134,1
C00067,Premium,North,2022-04-18,18-25,2024-09-25,97,1
C00068,Budget,North,2023-06-15,26-35,2024-09-07,115,1
C00069,Premium,North,2023-02-14,26-35,2024-12-26,5,0
C00070,Budget,South,2022-10-23,46-60,2024-12-22,9,0
C00071,Budget,East,2022-06-20,26-35,2024-12-21,10,0
C00072,Premium,South,2022-11-27,26-35,2024-08-26,127,1
C00073,Premium,North,2023-05-08,60+,2024-12-02,29,0
C00074,Budget,West,2022-07-14,36-45,2024-12-07,24,0
C00075,Budget,West,2022-01-12,46-60,2024-04-28,247,1
C00076,Budget,West,2022-07-14,26-35,2024-07-10,174,1
C00077,Budget,North,2023-05-05,18-25,2024-12-02,29,0
C00078,Premium,South,2022-07-01,60+,2024-10-29,63,0
C00079,Regular,West,2022-11-12,26-35,2024-11-17,44,0
C00080,Premium,East,2022-01-30,26-35,2024-12-28,3,0
C00081,Budget,North,2022-04-06,26-35,2024-10-02,90,0
C00082,Regular,North,2023-01-16,18-25,2024-04-12,263,1
C00083,Regular,South,2023-03-20,26-35,2024-05-21,224,1
C00084,Premium,West,2022-10-25,46-60,2024-10-10,82,0
C00085,Regular,South,2022-12-27,60+,2024-12-06,25,0
C00086,Regular,South,2023-01-09,60+,2024-11-27,34,0
C00087,Budget,North,2022-10-30,18-25,2024-10-21,71,0
C00088,Regular,East,2023-02-25,26-35,2024-11-02,59,0
C00089,Budget,West,2022-09-03,18-25,2024-07-28,156,1
C00090,Regular,South,2022-08-25,46-60,2024-10-03,89,0
C00091,Premium,East,2023-06-18,26-35,2024-11-24,37,0
C00092,Budget,West,2022-07-04,36-45,2024-11-04,57,0
C00093,Budget,North,2023-04-13,36-45,2024-11-25,36,0
C00094,Regular,South,2022-12-29,26-35,2024-10-14,78,0
C00095,Budget,North,2022-10-10,26-35,2024-11-01,60,0
C00096,Regular,East,2022-12-02,60+,2024-04-30,245,1
C00097,Regular,East,2022-06-11,60+,2023-12-19,378,1
C00098,Regular,East,2022-06-09,26-35,2024-11-01,60,0
C00099,Premium,East,2023-04-19,26-35,2024-04-06,269,1
C00100,Premium,South,2022-11-18,60+,2024-10-24,68,0
C00101,Premium,West,2022-01-12,18-25,2024-12-11,20,0
C00102,Regular,South,2023-02-28,26-35,2024-09-18,104,1
C00103,Regular,North,2022-03-14,18-25,2024-12-27,4,0
C00104,Regular,East,2022-07-20,36-45,2024-08-06,147,1
C00105,Budget,East,2023-06-06,18-25,2024-09-04,118,1
C00106,Regular,South,2023-05-20,26-35,2024-11-29,32,0
C00107,Regular,West,2022-02-08,26-35,2024-10-19,73,0
C00108,Budget,West,2022-03-01,36-45,2024-09-17,105,1
C00109,Regular,North,2022-11-17,60+,2024-03-01,305,1
C00110,Premium,West,2023-03-11,46-60,2024-10-25,67,0
C00111,Regular,North,2023-02-12,46-60,2024-10-01,91,1
C00112,Premium,North,2023-01-21,36-45,2024-11-08,53,0
C00113,Budget,North,2022-03-19,18-25,2024-12-22,9,0
C00114,Budget,West,2022-07-13,26-35,2024-11-25,36,0
C00115,Regular,East,2022-10-12,60+,2024-11-27,34,0
C00116,Budget,North,2023-06-11,26-35,2024-10-15,77,0
C00117,Budget,South,2023-06-08,18-25,2024-11-30,31,0
C00118,Premium,East,2022-06-05,36-45,2023-11-05,422,1
C00119,Budget,North,2022-12-06,26-35,2024-11-06,55,0
C00120,Regular,West,2022-05-05,26-35,2024-10-17,75,0
C00121,Budget,West,2022-10-07,60+,2024-12-23,8,0
C00122,Budget,South,2022-05-08,46-60,2024-05-27,218,1
