transaction_id,customer_id,date,revenue,category,channel,payment_method,delivery_days,satisfaction_score,segment,region,age_group,month_num
T013747,C01274,2023-01-01,184.04,Fashion,Web,Credit Card,3,3,Premium,South,26-35,1
T002670,C01262,2023-01-01,191.31,Home,Store,UPI,6,2,Budget,South,18-25,1
T010289,C01302,2023-01-01,55.29,Fashion,Web,Wallet,3,4,Budget,West,26-35,1
T013085,C01426,2023-01-01,30.6,Electronics,Mobile App,Credit Card,5,4,Budget,East,60+,1
T000335,C00320,2023-01-01,48.3,Beauty,Mobile App,UPI,6,2,Regular,South,18-25,1
T002299,C01009,2023-01-01,178.47,Fashion,Web,UPI,7,3,Regular,East,26-35,1
T008154,C00554,2023-01-01,45.68,Fashion,Web,UPI,5,3,Regular,West,26-35,1
T009551,C01724,2023-01-01,177.39,Beauty,Store,UPI,5,3,Premium,North,36-45,1
T001402,C00575,2023-01-01,71.92,Fashion,Mobile App,Credit Card,5,3,Budget,North,46-60,1
T006807,C01585,2023-01-01,53.48,Electronics,Mobile App,Wallet,3,4,Budget,South,26-35,1
T012271,C00467,2023-01-01,16.67,Home,Web,UPI,6,2,Regular,South,60+,1
T000226,C00351,2023-01-01,28.13,Fashion,Store,Credit Card,7,2,Regular,East,36-45,1
T011869,C00691,2023-01-01,145.66,Electronics,Web,Credit Card,4,3,Regular,South,26-35,1
T003710,C01819,2023-01-01,100.02,Home,Store,Debit Card,5,4,Regular,West,36-45,1
T012922,C01249,2023-01-01,49.6,Home,Store,Credit Card,5,2,Budget,West,18-25,1
T008321,C00646,2023-01-01,65.02,Beauty,Mobile App,Debit Card,4,3,Budget,South,46-60,1
T008554,C00580,2023-01-02,85.56,Electronics,Store,Wallet,4,3,Regular,East,18-25,1
T006421,C00752,2023-01-02,23.56,Home,Store,Credit Card,4,3,Budget,East,60+,1
T010669,C00550,2023-01-02,91.83,Home,Mobile App,Wallet,4,3,Budget,North,36-45,1
T011966,C01670,2023-01-02,70.65,Electronics,Store,UPI,5,3,Budget,South,36-45,1
T012881,C00498,2023-01-02,302.04,Electronics,Web,Wallet,5,4,Premium,West,26-35,1
T008307,C01629,2023-01-02,329.24,Fashion,Mobile App,Credit Card,4,4,Premium,East,26-35,1
T008955,C00484,2023-01-02,57.97,Sports,Web,Credit Card,3,4,Regular,North,46-60,1
T004454,C01016,2023-01-02,182.78,Fashion,Mobile App,UPI,3,4,Budget,South,36-45,1
T001196,C01428,2023-01-02,6.79,Beauty,Mobile App,Credit Card,4,4,Budget,East,26-35,1
T000529,C01966,2023-01-02,73.71,Home,Web,Debit Card,4,4,Regular,East,36-45,1
T000185,C00150,2023-01-02,49.71,Beauty,Web,UPI,5,2,Regular,West,36-45,1
T014009,C00851,2023-01-02,314.66,Fashion,Web,Credit Card,4,4,Premium,East,46-60,1
T001272,C01513,2023-01-02,86.87,Fashion,Web,Credit Card,5,3,Budget,West,18-25,1
T005408,C00132,2023-01-02,126.89,Beauty,Web,Credit Card,3,4,Regular,North,18-25,1
T012412,C00024,2023-01-02,352.0,Beauty,Store,Debit Card,3,3,Regular,North,60+,1
T009968,C01089,2023-01-02,37.71,Fashion,Store,Credit Card,5,3,Budget,East,46-60,1
T005483,C00058,2023-01-02,235.13,Beauty,Web,Credit Card,4,4,Premium,South,26-35,1
T006881,C00378,2023-01-02,137.21,Fashion,Web,Credit Card,6,3,Premium,East,46-60,1
T013462,C00512,2023-01-02,99.1,Fashion,Mobile App,UPI,2,4,Regular,West,60+,1
T011626,C00395,2023-01-02,135.48,Home,Mobile App,Credit Card,5,3,Regular,West,26-35,1
T012150,C01300,2023-01-02,58.65,Beauty,Web,Debit Card,3,4,Budget,West,18-25,1
T012328,C01404,2023-01-02,67.08,Beauty,Web,Credit Card,6,3,Budget,South,18-25,1
T007758,C01860,2023-01-03,1.04,Electronics,Mobile App,Credit Card,2,5,Budget,West,26-35,1
T000526,C00754,2023-01-03,28.18,Electronics,Web,Credit Card,5,3,Regular,South,36-45,1
T014423,C01199,2023-01-03,11.15,Electronics,Web,Credit Card,3,4,Budget,North,18-25,1
T010675,C01656,2023-01-03,69.08,Beauty,Web,Debit Card,2,4,Budget,North,18-25,1
T003977,C00542,2023-01-03,123.83,Home,Web,Credit Card,7,2,Regular,East,18-25,1
T008293,C01060,2023-01-03,73.17,Home,Web,Debit Card,4,3,Regular,West,18-25,1
T002580,C00636,2023-01-03,348.06,Electronics,Store,Credit Card,5,4,Regular,East,60+,1
T012960,C00327,2023-01-03,71.34,Home,Store,Credit Card,2,4,Regular,West,36-45,1
